,Region codes,Region,Data item,2022-23
85,3,Queensland,Custard Apples - Farm gate value ($m),4.6
88,1,New South Wales,Dried grapes - Production (t),"2,411"
89,1,New South Wales,Dried grapes - Farm gate value ($m),5.0
90,2,Victoria,Dried grapes - Production (t),"11,347"
91,2,Victoria,Dried grapes - Farm gate value ($m),23.7
92,4,South Australia,Dried grapes - Production (t),426
93,4,South Australia,Dried grapes - Farm gate value ($m),0.9
96,1,New South Wales,Grapefruit - Production (t),"4,130"
97,1,New South Wales,Grapefruit - Farm gate value ($m),7.3
98,2,Victoria,Grapefruit - Production (t),805
99,2,Victoria,Grapefruit - Farm gate value ($m),1.4
100,3,Queensland,Grapefruit - Production (t),"1,435"
101,3,Queensland,Grapefruit - Farm gate value ($m),2.5
102,4,South Australia,Grapefruit - Production (t),"1,785"
103,4,South Australia,Grapefruit - Farm gate value ($m),3.2
104,5,Western Australia,Grapefruit - Production (t),665
105,5,Western Australia,Grapefruit - Farm gate value ($m),1.2
106,7,Northern Territory,Grapefruit - Production (t),210
107,7,Northern Territory,Grapefruit - Farm gate value ($m),0.4
110,1,New South Wales,Kiwifruit - Production (t),393
111,1,New South Wales,Kiwifruit - Farm gate value ($m),2.1
112,2,Victoria,Kiwifruit - Production (t),"2,831"
113,2,Victoria,Kiwifruit - Farm gate value ($m),15.3
114,3,Queensland,Kiwifruit - Production (t),315
